year,team_abbr,wins
2022,PHI,14
2022,PIT,9
2022,SEA,9
2022,SF,13
2022,TB,8
2022,TEN,7
2022,WAS,8
2023,ARI,4
2023,ATL,7
2023,BAL,13
2023,BUF,11
2023,CAR,2
2023,CHI,7
2023,CIN,9
2023,CLE,11
2023,DAL,12
2023,DEN,8
2023,DET,12
2023,GB,9
2023,HOU,10
2023,IND,9
2023,JAX,9
2023,KC,11
2023,LA,10
2023,LAC,5
2023,LV,8
2023,MIA,11
2023,MIN,7
2023,NE,4
2023,NO,9
2023,NYG,6
2023,NYJ,7
2023,PHI,11
2023,PIT,10
2023,SEA,9
2023,SF,12
2023,TB,9
2023,TEN,6
2023,WAS,4
